USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1203  0.0  0.0 276816  3156 ?        Ssl  May24   0:09 /usr/sbin/gssproxy -D
root        1283  0.0  0.0 532604  8928 ?        Ssl  May24   0:01 /usr/sbin/gdm
root        1316  0.0  0.0 305824  5952 ?        Ssl  May24   0:00 /usr/libexec/uresourced
colord      1416  0.0  0.0 535204 10228 ?        Ssl  May24   0:00 /usr/libexec/colord
root        1582  0.0  0.0 1903636 11832 ?       Ssl  May24   0:17 /usr/sbin/pcscd --foreground --auto-exit
root        1843  0.0  0.0      0     0 ?        S<   May24   0:00 [krfcommd]
root        1926  0.0  0.0 530288  7256 ?        Ssl  May24   0:00 /usr/libexec/power-profiles-daemon
root        1973  0.0  0.0 691372 12096 ?        Sl   May24   0:02 gdm-session-worker [pam/gdm-password]
visawant    2000  0.0  0.0  30620 13476 ?        Ss   May24   0:41 /usr/lib/systemd/systemd --user
visawant    2008  0.0  0.0  16700  1580 ?        S    May24   0:00 (sd-pam)
visawant    2040  0.0  0.0 608280  7204 ?        SLl  May24   0:06 /usr/bin/gnome-keyring-daemon --daemonize --login
visawant    2074  0.0  0.0 453644  5588 tty2     Ssl+ May24   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
visawant    2078  0.0  0.0   9396  4048 ?        Ss   May24   0:00 /usr/bin/dbus-broker-launch --scope user
visawant    2085  0.0  0.0   8896  6132 ?        S    May24   2:16 dbus-broker --log 4 --controller 9 --machine-id dda7e8d34ea846af9d2cd06c5b5bc77c --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
visawant    2089  0.0  0.0 556232 13036 tty2     Sl+  May24   0:00 /usr/libexec/gnome-session-binary
visawant    2193  0.0  0.0 308136  4912 ?        Ssl  May24   0:00 /usr/libexec/gnome-session-ctl --monitor
visawant    2198  0.0  0.0 317336  9032 ?        Ssl  May24   0:17 /usr/libexec/uresourced --user
visawant    2200  0.0  0.0 1048848 14516 ?       Ssl  May24   0:16 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
visawant    2204  0.0  0.0 537352  8580 ?        Ssl  May24   0:01 /usr/libexec/gvfsd
visawant    2214  0.0  0.0 677676  6016 ?        Sl   May24   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
visawant    2224  0.0  0.0 332264 14600 ?        S<sl May24  23:55 /usr/bin/pipewire
visawant    2229  0.0  0.0 767096 17660 ?        S<sl May24  11:09 /usr/bin/wireplumber
visawant    2266  3.1  3.1 6481672 1026812 ?     SLsl May24 1010:39 /usr/bin/gnome-shell
visawant    2365  0.0  0.0 380716  6828 ?        Ssl  May24   0:00 /usr/libexec/at-spi-bus-launcher
visawant    2371  0.0  0.0   9148  4132 ?        S    May24   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
visawant    2372  0.0  0.0   5028  2908 ?        S    May24   0:03 dbus-broker --log 4 --controller 9 --machine-id dda7e8d34ea846af9d2cd06c5b5bc77c --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
visawant    2374  0.0  0.0 233732  6808 ?        Ssl  May24   0:03 /usr/libexec/at-spi2-registryd --use-gnome-session
visawant    2391  0.0  0.0 527876  6364 ?        Ssl  May24   0:00 /usr/libexec/xdg-permission-store
visawant    2392  0.0  0.0 666256 19952 ?        Ssl  May24   0:33 /usr/libexec/gnome-shell-calendar-server
visawant    2404  0.0  0.0 230312  7248 ?        Ssl  May24   0:01 /usr/libexec/dconf-service
visawant    2405  0.0  0.0 1509164 26068 ?       Ssl  May24   0:07 /usr/libexec/evolution-source-registry
visawant    2421  0.0  0.0 3172000 19136 ?       Ssl  May24   0:05 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
visawant    2436  0.0  0.0 612076 13524 ?        Ssl  May24  20:21 /usr/bin/ibus-daemon --panel disable
visawant    2445  0.0  0.0 601604  6320 ?        Ssl  May24   0:03 /usr/libexec/gsd-a11y-settings
visawant    2451  0.0  0.0 707488 18076 ?        Ssl  May24   0:15 /usr/libexec/gsd-color
visawant    2453  0.0  0.0 618468  9964 ?        Ssl  May24   0:03 /usr/libexec/gsd-datetime
visawant    2457  0.0  0.0 678428  8212 ?        Ssl  May24   0:36 /usr/libexec/gsd-housekeeping
visawant    2460  0.0  0.0 706244 18720 ?        Ssl  May24   0:03 /usr/libexec/gsd-keyboard
visawant    2464  0.0  0.0 991432 21912 ?        Ssl  May24   0:17 /usr/libexec/gsd-media-keys
visawant    2466  0.0  0.0 850804 22032 ?        Ssl  May24   0:29 /usr/libexec/gsd-power
visawant    2470  0.0  0.0 770072 12364 ?        Ssl  May24   0:08 /usr/libexec/gsd-print-notifications
visawant    2473  0.0  0.0 749084  6304 ?        Ssl  May24   0:03 /usr/libexec/gsd-rfkill
visawant    2482  0.0  0.0 527524  6008 ?        Ssl  May24   0:03 /usr/libexec/gsd-screensaver-proxy
visawant    2486  0.0  0.0 760268 10668 ?        Ssl  May24   1:01 /usr/libexec/gsd-sharing
